model,timm_identifier,hf_repo,revision,filename,sha256
BEiT-3,beit3_base_patch16_224.in22k_ft_in1k,timm/beit3_base_patch16_224.in22k_ft_in1k,1152d2f1c49139fd92f2d9b0c9ac90728668cdc8,model.safetensors,b92ae42496e0aca5efaaf38ff71abbb1728904f7c4fa6fb9c0a3f8944f019919
ConvNeXt Base,convnext_base,timm/convnext_base.fb_in22k_ft_in1k,67758fcbcf9f007ec7630bf8636b74a8f24e52a0,model.safetensors,4853efc8d5dd3ed9b0f888a9c601d7556373599f944f9ac79af8b8ec81aa7381
DINOv3,vit_base_patch16_dinov3.lvd1689m,timm/vit_base_patch16_dinov3.lvd1689m,c6a5fb7d12bbd3cf3b0079253141c3332aaed7da,model.safetensors,1f9ed8a2378d65e24bb710ba522ac9fa7be4e036d7aefb4384ce022833926332
DenseNet201,densenet201,timm/densenet201.tv_in1k,8d2e0f14ef7363343a1a15d6535db01e161ab3a9,model.safetensors,0f5db56213cd09ba5b4c53ddcdab0ae1c9a11bbd8fc07f0da71b0c099b2fd971
EVA-02,eva02_base_patch14_448.mim_in22k_ft_in22k_in1k,timm/eva02_base_patch14_448.mim_in22k_ft_in22k_in1k,81063ecfe9c381a16a19d06f396d6c7011aa426a,model.safetensors,533937d6f9f8f8d4f50627ef0d00829a5015861a5b67e1c69c5a5e45b7dc2609
EfficientNet-B3,efficientnet_b3,timm/efficientnet_b3.ra2_in1k,0366a75518620e0f2077789202073759f2d61393,model.safetensors,279d2a53898aa89dab43fd6bd7df9f706aea4cb9cf916223988bbcb8e5850469
InceptionV3,inception_v3,timm/inception_v3.tv_in1k,393d84cc85c467d8fbc0dc81a65c04e87a32572c,model.safetensors,9c452c63a67fd03a38a78c401ba12d4be0e926df63c93403de3a29f6df20fefb
MnasNet-100,mnasnet_100,timm/mnasnet_100.rmsp_in1k,a30af72360c7a4871b0156cc11d7b767208273d7,model.safetensors,0dde811b60f9ac475dd9886386b4144ddf4f50cda94c0176065817395d381d3e
MobileNetV2,mobilenetv2_100,timm/mobilenetv2_100.ra_in1k,5afa12513b048c79b9147a5d210e9bdc50035481,model.safetensors,55ea4fb3a96010b933710ebf44fc965b070d5cd054d3f35e44f2d1320b4a714e
ResNet50,resnet50,timm/resnet50.a1_in1k,767268603ca0cb0bfe326fa87277f19c419566ef,model.safetensors,773525d5821de224f8f30c33377b7a795d7863e08522698200d3217d3f2a41bb
SigLIP,vit_so400m_patch14_siglip_384,timm/vit_so400m_patch14_siglip_384.webli,b6a8abdb7fbca2e68e04e5aa9f814b136e7d6e49,model.safetensors,42e6d54c710ddae75a1cd23ad5c8fdbf8fe747ae7fd233be30999ac9ef9af490
VGG16,vgg16,timm/vgg16.tv_in1k,b8d8aa2dd860af9233c8c67385a8097fd6c35d3f,model.safetensors,57b026918159a6bf9faf8405c3a551903768e7138989d9c6224a14227203fad8
Xception-41,xception41,timm/xception41.tf_in1k,8a17189361e63c972815ef62f2a30dd5b9f393b1,model.safetensors,c208ded589c3f45080f3c50b9c84fa4f1cb51aea1fc5308e5a58efc7f4f2892d
