model,family,protocol,timm_identifier,selection_metric,final_config_fingerprint,learning_rate,optimizer,weight_decay,layer_decay,lr_scheduler,warmup_epochs,epoch_cap,early_stopping_patience,augmentation,randaugment_num_ops,randaugment_magnitude,randaugment_num_magnitude_bins,mixup_alpha,cutmix_alpha,batch_mix_application_probability,mixup_selection_probability,cutmix_selection_probability,batch_mix_mode,label_smoothing,effective_resolution_px,batch_size,interpolation,normalization_mean,normalization_std,configured_trainable_percent,measured_trainable_percent,verified_unfrozen_blocks,representation_layers,effective_token_pooling,representation_combine,head_construction,effective_head_outputs
BEiT-3,vFM,A,beit3_base_patch16_224.in22k_ft_in1k,val_f1,cafac6354c1136f8f72af4c72f14329418ef8c60ec3f8f69a22d1ce16e5cccfe,5e-05,adamw,0.05,0.75,cosine,5,100,10,none,,,,,,,,,,,224,32,bicubic,"[0.485, 0.456, 0.406]","[0.229, 0.224, 0.225]",0,33.0487,4,checkpoint-native final output,checkpoint-native final representation,not applicable,native classifier replaced by Linear(4),4
BEiT-3,vFM,B,beit3_base_patch16_224.in22k_ft_in1k,val_f1,2017328d25b8b68be8cfd1f74b2152c81edadeac33cb7265c97f4d02370e9307,0.001,adamw,0.05,,cosine,5,100,10,none,,,,,,,,,,,224,32,bicubic,"[0.485, 0.456, 0.406]","[0.229, 0.224, 0.225]",0.0,16.5252,2,last,patch-token mean,not applicable,LinearProbe ending in Linear(4),4
ConvNeXt Base,CNN,A,convnext_base,val_f1,7ace6787091e07189d9f7c0efbf0a22f9c60dcad894f4502a350f1b7c21f1786,0.001,adamw,0.0001,,cosine,0,100,10,none,,,,,,,,,,,224,32,bicubic,"[0.485, 0.456, 0.406]","[0.229, 0.224, 0.225]",0,0.0070,,not applicable,checkpoint-native final representation,not applicable,native classifier replaced by Linear(4),4
ConvNeXt Base,CNN,B,convnext_base,val_f1,4253bb68ae7c28fdfc3bc56702836dc7ef953ff01df1bc40efa2c48964b7cd68,0.0003,adamw,0.0001,,cosine,0,100,10,randaugment,2,9,31,,,,,,,,224,32,bicubic,"[0.485, 0.456, 0.406]","[0.229, 0.224, 0.225]",100,100.0000,not applicable,not applicable,checkpoint-native final representation,not applicable,native classifier replaced by Linear(4),4
DINOv3,vFM,A,vit_base_patch16_dinov3.lvd1689m,val_f1,0c447b164c49befb56eee0a33bed8124a152f69605d4104ad4761c18a76a7272,0.001,adamw,0.05,,cosine,5,100,10,none,,,,,,,,,,,256,32,bicubic,"[0.485, 0.456, 0.406]","[0.229, 0.224, 0.225]",0,0.0036,0,last2,mean of CLS tokens from the last two blocks,not applicable,LinearProbe ending in Linear(4),4
DINOv3,vFM,B,vit_base_patch16_dinov3.lvd1689m,val_f1,4aa4b488bc41fbca9b8d941f4923e1b54b3a8edd43b1d76df0d7293ce6e23c80,0.001,adamw,0.05,,cosine,5,100,10,none,,,,,,,,,,,256,32,bicubic,"[0.485, 0.456, 0.406]","[0.229, 0.224, 0.225]",0.0,16.5555,2,last,patch-token mean,not applicable,LinearProbe ending in Linear(4),4
DenseNet201,CNN,A,densenet201,val_f1,6d37acc6cb11c94b0f1467de48c199853f9fb542ab71345512ed0ab0ac1902e3,0.0003,adamw,0.0001,,cosine,0,100,10,none,,,,,,,,,,,224,64,bicubic,"[0.485, 0.456, 0.406]","[0.229, 0.224, 0.225]",20,25.9980,,not applicable,checkpoint-native final representation,not applicable,native classifier replaced by Linear(4),4
DenseNet201,CNN,B,densenet201,val_f1,3efaada73ac166f0d6842e88079f486a7d79fc7971380463604cdec2075e21a1,0.001,adamw,0.0001,,cosine,0,100,10,none,,,,,,,,,,,224,64,bicubic,"[0.485, 0.456, 0.406]","[0.229, 0.224, 0.225]",20,25.9980,not applicable,not applicable,checkpoint-native final representation,not applicable,native classifier replaced by Linear(4),4
EVA-02,vFM,A,eva02_base_patch14_448.mim_in22k_ft_in22k_in1k,val_f1,7d1bc75ff1f60d81be4856b4101e99e5dbc454358beeb106d0d72c6c9c8ecbaf,5e-05,adamw,0.05,0.75,cosine,5,100,10,none,,,,,,,,,,,448,8,bicubic,"[0.48145466, 0.4578275, 0.40821073]","[0.26862954, 0.26130258, 0.27577711]",0,16.4317,2,checkpoint-native final output,checkpoint-native final representation,not applicable,native classifier replaced by Linear(4),4
EVA-02,vFM,B,eva02_base_patch14_448.mim_in22k_ft_in22k_in1k,val_f1,1e9cf4c88ee85e81e7fc8dbd59680cbd02a86de0f6c996d66b9f3f7b723de0a3,0.0003,adamw,0.05,,cosine,5,100,10,none,,,,,,,,,,,448,8,bicubic,"[0.48145466, 0.4578275, 0.40821073]","[0.26862954, 0.26130258, 0.27577711]",0.0,16.4299,2,last,CLS token,not applicable,LinearProbe ending in Linear(4),4
EfficientNet-B3,CNN,A,efficientnet_b3,val_f1,d19e235114b2661ec890aeb6a61485a538c851198697e27189045cb0ac363020,0.001,adamw,0.0001,,cosine,0,100,10,none,,,,,,,,,,,224,64,bicubic,"[0.485, 0.456, 0.406]","[0.229, 0.224, 0.225]",100,100.0000,,not applicable,checkpoint-native final representation,not applicable,native classifier replaced by Linear(4),4
EfficientNet-B3,CNN,B,efficientnet_b3,val_f1,e380e9b57b1ffaf8547c2f38f44831069fb24feeeca9d7a70b34439ae176d33a,0.0003,adamw,0.0001,,cosine,0,100,10,none,,,,,,,,,,,224,64,bicubic,"[0.485, 0.456, 0.406]","[0.229, 0.224, 0.225]",100,100.0000,not applicable,not applicable,checkpoint-native final representation,not applicable,native classifier replaced by Linear(4),4
InceptionV3,CNN,A,inception_v3,val_f1,cd60125713a627309209f3420f3fd69da747b2acad81c74b5d5c329929324f8d,0.001,adamw,0.0001,,cosine,0,100,10,none,,,,,,,,,,,224,64,bicubic,"[0.5, 0.5, 0.5]","[0.5, 0.5, 0.5]",20,51.0678,,not applicable,checkpoint-native final representation,not applicable,native classifier replaced by Linear(4),4
InceptionV3,CNN,B,inception_v3,val_f1,3e5eca212c2858cfea0a1910b6558a46c6f42dc128a41a9871e9a6a8e31cace4,0.0003,adamw,0.0001,,cosine,0,100,10,randaugment,2,9,31,,,,,,,,224,64,bicubic,"[0.5, 0.5, 0.5]","[0.5, 0.5, 0.5]",100,100.0000,not applicable,not applicable,checkpoint-native final representation,not applicable,native classifier replaced by Linear(4),4
MnasNet-100,CNN,A,mnasnet_100,val_f1,5dfe8ed7440a049818c533e73f5c187129e0aef6067563c526b9865a40b92ce3,0.0003,adamw,0.0001,,cosine,0,100,10,none,,,,,,,,,,,224,64,bicubic,"[0.485, 0.456, 0.406]","[0.229, 0.224, 0.225]",100,100.0000,,not applicable,checkpoint-native final representation,not applicable,native classifier replaced by Linear(4),4
MnasNet-100,CNN,B,mnasnet_100,val_f1,944b880ed97c15c0817f9e7bd361f3450862737a4653fbe96459337d28786431,0.0003,adamw,0.0001,,cosine,0,100,10,randaugment,2,9,31,,,,,,,,224,64,bicubic,"[0.485, 0.456, 0.406]","[0.229, 0.224, 0.225]",100,100.0000,not applicable,not applicable,checkpoint-native final representation,not applicable,native classifier replaced by Linear(4),4
MobileNetV2,CNN,A,mobilenetv2_100,val_f1,9adb70a92248ff251f368532a539a505c8d94678acdb7bec6da105e5e2948575,0.0003,adamw,0.0001,,cosine,0,100,10,randaugment,2,9,31,,,,,,,,224,64,bicubic,"[0.485, 0.456, 0.406]","[0.229, 0.224, 0.225]",100,100.0000,,not applicable,checkpoint-native final representation,not applicable,native classifier replaced by Linear(4),4
MobileNetV2,CNN,B,mobilenetv2_100,val_f1,12424ead74614ded61df0d941d8443f72b17b331c726b4e0f51e29b738c10719,0.0003,adamw,0.0001,,cosine,0,100,10,randaugment,2,9,31,0.2,1,1.0,0.5,0.5,batch,0.1,224,64,bicubic,"[0.485, 0.456, 0.406]","[0.229, 0.224, 0.225]",100,100.0000,not applicable,not applicable,checkpoint-native final representation,not applicable,native classifier replaced by Linear(4),4
ResNet50,CNN,A,resnet50,val_f1,41c650db87d6e692f0a7e27d07c34edf1f1827f06129e391c0d088f8baf2b4a9,0.0001,adamw,0.0001,,cosine,0,100,10,none,,,,,,,,,,,224,64,bicubic,"[0.485, 0.456, 0.406]","[0.229, 0.224, 0.225]",100,100.0000,,not applicable,checkpoint-native final representation,not applicable,native classifier replaced by Linear(4),4
ResNet50,CNN,B,resnet50,val_f1,a4e09e57a0d76d5be805d761de4d01de9d18791108675aac8a383fb33f8050ad,0.0003,adamw,0.0001,,cosine,0,100,10,none,,,,,,,,,,,224,64,bicubic,"[0.485, 0.456, 0.406]","[0.229, 0.224, 0.225]",100,100.0000,not applicable,not applicable,checkpoint-native final representation,not applicable,native classifier replaced by Linear(4),4
SigLIP,vFM,A,vit_so400m_patch14_siglip_384,val_f1,025504c4d61a3d6de84fa5d08b0343a45a68bc3221bc466047635679b950641b,0.001,adamw,0.05,,cosine,5,100,10,none,,,,,,,,,,,384,2,bicubic,"[0.5, 0.5, 0.5]","[0.5, 0.5, 0.5]",0,0.0011,0,last,patch-token mean (CLS fallback; no prefix token),not applicable,LinearProbe ending in Linear(4),4
SigLIP,vFM,B,vit_so400m_patch14_siglip_384,val_f1,a0fce3909a5d183bcf74e581735f03eb74b82a63ec5c68e2403c812dfa6bab89,0.0003,adamw,0.05,,cosine,5,100,10,none,,,,,,,,,,,384,2,bicubic,"[0.5, 0.5, 0.5]","[0.5, 0.5, 0.5]",0.0,7.1191,2,last,patch-token mean (CLS fallback; no prefix token),not applicable,LinearProbe ending in Linear(4),4
